lang,procs,op,median
julia,1,write,0.0010259975
julia,2,write,0.0010554845
julia,4,write,0.001226359
julia,8,write,0.0012215245
julia,16,write,0.0017707325
julia,1,reads,0.001216486
julia,2,reads,0.0012232675
julia,4,reads,0.001553814
julia,8,reads,0.0015575755
julia,16,reads,0.001948696
julia,1,flops,0.001481518
julia,2,flops,0.0014961555
julia,4,flops,0.001905039
julia,8,flops,0.001904812
julia,16,flops,0.0019230725
julia,1,comms,0.376891202
julia,2,comms,0.411052819
julia,4,comms,0.8813338715
julia,8,comms,1.8967455335
julia,16,comms,1.590014201
CPP,1,write,4.24635e-5
CPP,2,write,4.57515e-5
CPP,4,write,5.4159e-5
CPP,8,write,5.4286e-5
CPP,16,write,5.4293e-5
CPP,1,reads,1.68005e-5
CPP,2,reads,1.8676e-5
CPP,4,reads,2.3923e-5
CPP,8,reads,2.3971e-5
CPP,16,reads,2.3977e-5
CPP,1,flops,0.0013428755
CPP,2,flops,0.0014932245
CPP,4,flops,0.001904794
CPP,8,flops,0.0019094575
CPP,16,flops,0.001909898
CPP,1,comms,0.007414325
CPP,2,comms,0.0099270195
CPP,4,comms,0.011007203
CPP,8,comms,0.0103737295
CPP,16,comms,0.0101976245
