proc,leg_obj,median,err
2,task size = 20,6546.210843373494,538.0024423763526
4,task size = 20,253685.28402366865,19959.668338744006
8,task size = 20,208825.72077922078,10917.730860565689
16,task size = 20,408641.4095744681,99835.6844914657
2,task size = 40,27054.068322981366,652.8729022963008
4,task size = 40,254710.05063291139,12864.195886998767
8,task size = 40,202651.1546961326,39088.3666519897
16,task size = 40,437976.7619047619,93098.01261031775
2,task size = 80,35890.89595375722,2934.2037925284235
4,task size = 80,255694.33333333334,8148.8301073005
8,task size = 80,210576.8141025641,19960.217399683774
16,task size = 80,439771.70430107525,85580.75782623155
2,task size = 160,46810.47368421053,562.2872754969281
4,task size = 160,255999.59064327486,20414.060783648612
8,task size = 160,237862.78205128206,9622.613799087303
16,task size = 160,513925.1265060241,64677.897286633095
2,task size = 320,56925.333333333336,19849.1550521493
4,task size = 320,279621.9659090909,24494.911030170617
8,task size = 320,227137.88235294117,36569.54831399083
16,task size = 320,473780.08465608465,94054.89151510582
2,task size = 640,74423.14772727272,14674.650182086907
4,task size = 640,342536.974522293,15781.75506795704
8,task size = 640,321106.63742690056,20383.128929051967
16,task size = 640,572125.6551724138,86303.37360941317
2,null task,5653.477272727273,189.76701367866718
4,null task,155128.68786127167,7533.571672599191
8,null task,214274.83246073299,32215.883298267214
16,null task,394023.76630434784,95924.35360034769
